business_id,date,checkin
XQfwVwDr-v0ZS3_CbbE5Xw,10/7/2017 13:45,['2017-10-07 13:45:50']
XQfwVwDr-v0ZS3_CbbE5Xw,10/9/2017 15:03,['2017-10-09 15:03:00']
XQfwVwDr-v0ZS3_CbbE5Xw,10/22/2017 13:12,['2017-10-22 13:12:57']
XQfwVwDr-v0ZS3_CbbE5Xw,10/29/2017 13:24,['2017-10-29 13:24:36']
XQfwVwDr-v0ZS3_CbbE5Xw,12/16/2017 15:39,['2017-12-16 15:39:56']
XQfwVwDr-v0ZS3_CbbE5Xw,12/16/2017 15:41,['2017-12-16 15:41:59']
XQfwVwDr-v0ZS3_CbbE5Xw,12/24/2017 15:31,['2017-12-24 15:31:08']
XQfwVwDr-v0ZS3_CbbE5Xw,12/26/2017 14:34,['2017-12-26 14:34:11']
XQfwVwDr-v0ZS3_CbbE5Xw,1/7/2018 16:51,['2018-01-07 16:51:57']
XQfwVwDr-v0ZS3_CbbE5Xw,2/20/2018 13:14,['2018-02-20 13:14:44']
XQfwVwDr-v0ZS3_CbbE5Xw,3/25/2018 17:02,['2018-03-25 17:02:03']
XQfwVwDr-v0ZS3_CbbE5Xw,5/8/2018 17:37,['2018-05-08 17:37:34']
XQfwVwDr-v0ZS3_CbbE5Xw,5/13/2018 11:46,['2018-05-13 11:46:40']
XQfwVwDr-v0ZS3_CbbE5Xw,5/24/2018 13:20,['2018-05-24 13:20:51']
XQfwVwDr-v0ZS3_CbbE5Xw,6/25/2018 16:34,['2018-06-25 16:34:22']
XQfwVwDr-v0ZS3_CbbE5Xw,7/1/2018 12:31,['2018-07-01 12:31:53']
XQfwVwDr-v0ZS3_CbbE5Xw,7/8/2018 16:49,['2018-07-08 16:49:36']
XQfwVwDr-v0ZS3_CbbE5Xw,7/18/2018 14:19,['2018-07-18 14:19:39']
XQfwVwDr-v0ZS3_CbbE5Xw,8/19/2018 18:01,['2018-08-19 18:01:46']
XQfwVwDr-v0ZS3_CbbE5Xw,8/26/2018 15:29,['2018-08-26 15:29:31']
XQfwVwDr-v0ZS3_CbbE5Xw,8/31/2018 13:38,['2018-08-31 13:38:17']
XQfwVwDr-v0ZS3_CbbE5Xw,10/7/2018 17:21,['2018-10-07 17:21:36']
XQfwVwDr-v0ZS3_CbbE5Xw,11/17/2018 16:41,['2018-11-17 16:41:12']
XQfwVwDr-v0ZS3_CbbE5Xw,11/24/2018 18:15,['2018-11-24 18:15:38']
XQfwVwDr-v0ZS3_CbbE5Xw,12/1/2018 13:49,['2018-12-01 13:49:55']
XQfwVwDr-v0ZS3_CbbE5Xw,12/8/2018 12:48,['2018-12-08 12:48:51']
XQfwVwDr-v0ZS3_CbbE5Xw,12/22/2018 16:03,['2018-12-22 16:03:58']
XQfwVwDr-v0ZS3_CbbE5Xw,12/26/2018 14:56,['2018-12-26 14:56:49']
XQfwVwDr-v0ZS3_CbbE5Xw,12/27/2018 14:33,['2018-12-27 14:33:23']
XQfwVwDr-v0ZS3_CbbE5Xw,12/29/2018 20:07,['2018-12-29 20:07:11']
XQfwVwDr-v0ZS3_CbbE5Xw,1/1/2019 15:15,['2019-01-01 15:15:03']
XQfwVwDr-v0ZS3_CbbE5Xw,1/1/2019 15:35,['2019-01-01 15:35:25']
XQfwVwDr-v0ZS3_CbbE5Xw,1/5/2019 14:40,['2019-01-05 14:40:34']
XQfwVwDr-v0ZS3_CbbE5Xw,1/19/2019 15:45,['2019-01-19 15:45:58']
XQfwVwDr-v0ZS3_CbbE5Xw,1/19/2019 15:46,['2019-01-19 15:46:42']
XQfwVwDr-v0ZS3_CbbE5Xw,1/19/2019 16:15,['2019-01-19 16:15:21']
XQfwVwDr-v0ZS3_CbbE5Xw,1/20/2019 15:36,['2019-01-20 15:36:43']
XQfwVwDr-v0ZS3_CbbE5Xw,1/27/2019 13:55,['2019-01-27 13:55:25']
XQfwVwDr-v0ZS3_CbbE5Xw,2/10/2019 18:06,['2019-02-10 18:06:23']
XQfwVwDr-v0ZS3_CbbE5Xw,2/25/2019 18:19,['2019-02-25 18:19:52']
XQfwVwDr-v0ZS3_CbbE5Xw,3/9/2019 14:51,['2019-03-09 14:51:12']
XQfwVwDr-v0ZS3_CbbE5Xw,3/10/2019 17:01,['2019-03-10 17:01:25']
XQfwVwDr-v0ZS3_CbbE5Xw,3/15/2019 22:32,['2019-03-15 22:32:25']
XQfwVwDr-v0ZS3_CbbE5Xw,3/17/2019 13:50,['2019-03-17 13:50:02']
XQfwVwDr-v0ZS3_CbbE5Xw,3/23/2019 14:24,['2019-03-23 14:24:36']
XQfwVwDr-v0ZS3_CbbE5Xw,3/23/2019 17:35,['2019-03-23 17:35:52']
XQfwVwDr-v0ZS3_CbbE5Xw,4/7/2019 13:05,['2019-04-07 13:05:59']
XQfwVwDr-v0ZS3_CbbE5Xw,4/7/2019 16:46,['2019-04-07 16:46:17']
XQfwVwDr-v0ZS3_CbbE5Xw,4/10/2019 12:54,['2019-04-10 12:54:45']
XQfwVwDr-v0ZS3_CbbE5Xw,4/14/2019 14:00,['2019-04-14 14:00:31']
XQfwVwDr-v0ZS3_CbbE5Xw,4/21/2019 12:07,['2019-04-21 12:07:59']
XQfwVwDr-v0ZS3_CbbE5Xw,5/5/2019 14:40,['2019-05-05 14:40:00']
XQfwVwDr-v0ZS3_CbbE5Xw,5/11/2019 18:01,['2019-05-11 18:01:56']
XQfwVwDr-v0ZS3_CbbE5Xw,5/23/2019 16:52,['2019-05-23 16:52:06']
XQfwVwDr-v0ZS3_CbbE5Xw,5/24/2019 14:46,['2019-05-24 14:46:00']
XQfwVwDr-v0ZS3_CbbE5Xw,5/26/2019 14:21,['2019-05-26 14:21:51']
XQfwVwDr-v0ZS3_CbbE5Xw,5/26/2019 14:40,['2019-05-26 14:40:34']
XQfwVwDr-v0ZS3_CbbE5Xw,6/1/2019 13:42,['2019-06-01 13:42:35']
XQfwVwDr-v0ZS3_CbbE5Xw,6/11/2019 14:41,['2019-06-11 14:41:28']
XQfwVwDr-v0ZS3_CbbE5Xw,6/15/2019 12:52,['2019-06-15 12:52:08']
XQfwVwDr-v0ZS3_CbbE5Xw,6/16/2019 12:11,['2019-06-16 12:11:49']
XQfwVwDr-v0ZS3_CbbE5Xw,7/11/2019 15:02,['2019-07-11 15:02:12']
XQfwVwDr-v0ZS3_CbbE5Xw,7/21/2019 15:24,['2019-07-21 15:24:47']
XQfwVwDr-v0ZS3_CbbE5Xw,7/21/2019 16:31,['2019-07-21 16:31:51']
XQfwVwDr-v0ZS3_CbbE5Xw,8/10/2019 17:13,['2019-08-10 17:13:12']
XQfwVwDr-v0ZS3_CbbE5Xw,8/18/2019 14:40,['2019-08-18 14:40:09']
XQfwVwDr-v0ZS3_CbbE5Xw,9/1/2019 13:17,['2019-09-01 13:17:56']
XQfwVwDr-v0ZS3_CbbE5Xw,9/2/2019 13:25,['2019-09-02 13:25:57']
XQfwVwDr-v0ZS3_CbbE5Xw,9/2/2019 13:26,['2019-09-02 13:26:20']
